"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"0001"	"0001"	"a)/lfa"	"the first letter of the Greek alphabet"	"alpha; the first letter of the Greek alphabet."
"0002"	"0002"	"*)aarw/n, o("	"Aaron"	"Aaron, son of Amram and Jochebed, brother of Moses."
"0003"	"0003"	"*)abaddw/n, o("	"Abaddon"	"Abaddon, Destroyer (i.e. Destroying Angel) or ""place of destruction"" (personified)."
"0004"	"0004"	"a)barh/s, es"	"not burdensome"	"not burdensome, bringing no weight or oppression upon."
"0005"	"0005"	"*)abba="	"Father"	"Abba, Father."
"0006"	"0006"	"*)/abel, o("	"Abel"	"Abel, second son of Adam and Eve, brother of Cain."
"0007"	"0007"	"*)abia/, o("	"Abijah"	"Abijah, (a) a king, son of Rehoboam, (b) founder of the eighth class of priests."
"0008"	"0008"	"*)abia/qar, o("	"Abiathar"	"Abiathar, a priest in King David's time."
"0009"	"0009"	"*)abilhnh/, h=s, h("	"Abilene"	"the Abilenian territory, the territory of Abila (in Syria), a small principality in the mountains of Damascus."
"0010"	"0010"	"*)abiou/d, o("	"Abiud"	"Abiud, son of Zerubbabel and father of Eliakim."
"0011"	"0011"	"*)abraa/m, o("	"Abraham"	"Abraham, progenitor of the Hebrew race."
"0012"	"0012"	"a)/bussos, ou, h("	"the abyss, the unfathomable depth"	"the abyss, unfathomable depth, an especially Jewish conception, the home of the dead and of evil spirits."
"0013"	"0013"	"*)agabos, ou, o("	"Agabus"	"Agabus, a Christian prophet."
"0014"	"0014"	"a)gaqoerge/w"	"I perform good deeds"	"I work that which is good, perform good deeds."
"0015"	"0016"	"a)gaqopoie/w"	"I do that which is good"	"I do that which is good."
"0016"	"0017"	"a)gaqopoii+/a, as, h("	"the doing of that which is good"	"the doing of that which is good, well-doing."
"0017"	"0018"	"a)gaqopoio/s, ou=, o("	"a doer of that which is good"	"a doer of that which is good."
"0018"	"0019"	"a)gaqo/s, h/, o/n"	"good"	"intrinsically good, good in nature, good whether it be seen to be so or not, the widest and most colorless of all words with this meaning."
"0019"	"0020"	"a)gaqwsu/nh, hs, h("	"goodness"	"intrinsic goodness, especially as a personal quality, with stress on the kindly (rather than the righteous) side of goodness."
"0020"	"0021"	"a)galli/asis, ews, h("	"exultation, exhilaration"	"wild joy, ecstatic delight, exultation, exhilaration."
"0021"	"0022"	"a)gallia/w"	"I exult, am full of joy"	"I exult, am full of joy."
"0022"	"0023"	"a)/gamos, ou=, o(, h("	"unmarried"	"unmarried, of a person not in a state of wedlock, whether he or she has formerly been married or not."
"0023"	"0024"	"a)ganakte/w"	"I am angry, am incensed"	"I am angry, incensed."
"0024"	"0025"	"a)gana/kthsis, ews, h("	"indignation"	"feeling of anger, indignation, vexation."
"0025"	"0026"	"a)gapa/w"	"I love"	"I love, wish well to, take pleasure in, long for; denotes the love of reason, esteem."
"0026"	"0027"	"a)ga/ph, hs, h("	"love"	"love, benevolence, good will, esteem; plur: love-feasts."
"0027"	"0028"	"a)gaphto/s, h/, o/n"	"loved, beloved"	"loved, beloved, with two special applications: the Beloved, a title of the Messiah (Christ), as beloved beyond all others by the God who sent Him; of Christians, as beloved by God, Christ, and one another."
"0028"	"0029"	"*(/agar, h("	"Hagar"	"Hagar, the servant of Sarah, concubine of Abraham."
"0029"	"0030"	"a)ggareu/w"	"I impress, send"	"I impress (into my service), send (on an errand)."
"0030"	"0031,0035"	"a)ggei=on, ou, to/"	"a vessel, flask, can"	"a vessel, flask."
"0031"	"0032"	"a)ggeli/a, as, h("	"a message"	"a message."
